"Number","Name","Latitude","Longitude","District","Public","Total docks"
"K32003","Brookline Village - Station Street at MBTA","42.33274392304887","-71.11626680949485","Brookline","Yes","19"
"A32023","Bunker Hill Community College","42.37408991426522","-71.06905996799469","Boston","Yes","23"
"B32020","Burlington Ave at Brookline Ave","42.345733","-71.100694","Boston","Yes","0"
"M32052","Cambridge Dept. of Public Works -147 Hampshire St.","42.37119727759414","-71.09759867191315","Cambridge","Yes","19"
"M32013","Cambridge Main Library at Broadway / Trowbridge St","42.373379","-71.111075","Cambridge","Yes","19"
"M32007","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","Cambridge","Yes","15"
"D32000","Cambridge St at Joy St","42.36125721646537","-71.06528744101524","Boston","Yes","15"
"M32019","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","42.366981","-71.076472","Cambridge","Yes","15"
"A32046","Canal St at Causeway St","42.36530094929082","-71.06092190993877","Boston","Yes","0"
"M32012","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","Cambridge","Yes","17"
"M32011","Central Square at Mass Ave / Essex St","42.36507","-71.1031","Cambridge","Yes","19"
"A32041","Central Square East Boston","42.37544912547037","-71.03918548682486","Boston","Yes","15"
"C32086","Centre St at Parkway YMCA","42.28277901074054","-71.15728851416861","Boston","Yes","19"
"E32008","Centre St at Seaverns Ave","42.3121203","-71.1142981","Boston","Yes","0"
"C32085","Centre St at W. Roxbury Post Office","42.286331991127746","-71.15344755369732","Boston","Yes","19"
"N32000","Centre St at Washington St","42.35574334805774","-71.18641942508475","Newton","Yes","11"
"D32016","Charles Circle - Charles St at Cambridge St","42.36079296858265","-71.07118962337152","Boston","Yes","19"
"D32039","Charlestown Navy Yard","42.374124549426526","-71.05481199938367","Boston","Yes","23"
"A32027","Chelsea St at Saratoga St","42.379772","-71.027448","Boston","Yes","15"
"V32009","Chelsea St at Vine St","42.40328056972533","-71.04762639859473","Everett","Yes","15"
"M32049","Child St at North St","42.37150494100319","-71.07249312120985","Cambridge","Yes","23"
"D32015","Chinatown Gate Plaza","42.351356","-71.059367","Boston","Yes","19"
"D32019","Chinatown T Stop","42.352409","-71.062679","Boston","Yes","19"
"B32005","Christian Science Plaza - Massachusetts Ave at Westland Ave","42.3436658245146","-71.08582377433777","Boston","Yes","19"
"S32010","Clarendon Hill at Broadway","42.406302","-71.132446","Somerville","Yes","0"
"D32047","Clarendon St at Newbury St","42.35155308466532","-71.0756903143556","Boston","Yes","0"
"B32035","Cleveland Circle","42.335543083570826","-71.15061519672052","Boston","Yes","15"
"C32055","Codman Square Library","42.2873611","-71.071111","Boston","Yes","17"
"B32006","Colleges of the Fenway - Fenway at Avenue Louis Pasteur","42.34011512249236","-71.10061883926392","Boston","Yes","15"
"B32029","Columbia Rd at Ceylon St","42.309572","-71.0729","Boston","Yes","15"
"C32052","Columbia Rd at Tierney Community Center","42.33023070528729","-71.05060093123029","Boston","Yes","19"
"C32077","Columbus Ave at W. Canton St","42.34474224772802","-71.07648162175792","Boston","Yes","19"
"A32002","Commonwealth Ave at Agganis Way","42.35169201885973","-71.11903488636017","Boston","Yes","15"
"K32006","Commonwealth Ave At Babcock St","42.35154734791375","-71.12126246094704","Brookline","Yes","15"
"D32033","Commonwealth Ave at Chiswick Rd","42.34024644768889","-71.15168806174552","Boston","Yes","19"
"A32017","Commonwealth Ave at Griggs St","42.34922469338298","-71.13275302578586","Boston","Yes","15"
"D32034","Commonwealth Ave at Kelton St","42.348358628170445","-71.13997217276847","Boston","Yes","15"
"S32022","Community Path at Cedar Street","42.39407223665884","-71.11133694648743","Somerville","Yes","15"
"S32040","Community Path at Lowell St","42.392525","-71.105587","Somerville","Yes","19"
"D32009","Congress St at Boston City Hall","42.36041774637169","-71.05752243543975","Boston","Yes","23"
"C32032","Congress St at Northern Ave","42.3481","-71.03764","Boston","Yes","0"
"C32010","Congress St at Sleeper St","42.351004495946704","-71.04930013418198","Boston","Yes","0"
"S32004","Conway Park - Somerville Avenue","42.383405","-71.107593","Somerville","Yes","23"
"S32045","Conway Park @ Bleachery Ct (Temp Winter Station)","42.3836409294306","-71.10868692398071","Somerville","Yes","19"
"K32001","Coolidge Corner - Beacon St at Centre St","42.341598","-71.123338","Brookline","Yes","19"
"W32001","Coolidge Sq.","42.372076114722866","-71.15683130688922","Watertown","Yes","12"
"D32005","Copley Square - Dartmouth St at Boylston St","42.34992828230057","-71.07739206866427","Boston","Yes","33"
"D32010","Cross St at Hanover St","42.362811","-71.056067","Boston","Yes","19"
"E32001","Curtis Hall - South St at Centre St","42.309054","-71.11543","Boston","Yes","15"
"K32009","Cypress St at Clark Playground","42.32784317478686","-71.1253622174263","Brookline","Yes","0"
"M32030","Dana Park","42.361780439606044","-71.10809952020645","Cambridge","Yes","19"
"M32031","Danehy Park","42.388966","-71.132788","Cambridge","Yes","17"
"D32045","Dartmouth St at Newbury St","42.35096144421219","-71.07782810926437","Boston","Yes","19"
"S32006","Davis Square","42.396969","-71.123024","Somerville","Yes","25"
"A32051","Day Sq","42.379295","-71.027733","Boston","Yes","16"
"B32037","Deerfield St at Commonwealth Ave","42.34924376955301","-71.09728209692548","Boston","Yes","19"
"M32066","Discovery Park - 30 Acorn Park Drive","42.39790817368333","-71.14797130814623","Cambridge","Yes","23"
"C32009","Dorchester Ave at Gillette Park","42.344040510016356","-71.05737626552582","Boston","Yes","15"
