Number,Name,Latitude,Longitude,District,Public,Docks,Bikes
M32040,University Park,42.3626477912,-71.1000609398,Cambridge,Yes,19,13
C32019,Uphams Corner,42.3172747433,-71.0653700397,Boston,Yes,15,7
B32025,Uphams Corner T Stop - Magnolia St at Dudley St,42.3186973417,-71.0697814822,Boston,Yes,15,5
M32057,Vassal Lane at Tobin/VLUS,42.383932248899995,-71.1396127196,Cambridge,Yes,19,13
M32050,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.1130535603,Cambridge,Yes,19,7
C32029,W Broadway at D St,42.3391085,-71.05144320000001,Boston,Yes,23,7
C32016,W Broadway at Dorchester St,42.3359589794,-71.0462289956,Boston,Yes,17,10
B32030,Walnut Ave at Warren St,42.324081,-71.083235,Boston,Yes,15,11
D32021,Warren St at Chelsea St,42.371848,-71.060292,Boston,Yes,23,11
K32014,Washington Sq,42.339406591999996,-71.13489642270001,Brookline,Yes,15,8
C32042,Washington St at Bradlee St,42.299164979400004,-71.0734587165,Boston,Yes,15,8
D32029,Washington St at Brock St,42.3489528467,-71.1603167653,Boston,Yes,15,10
C32081,Washington St at Denton Terr,42.2807281472,-71.1342375727,Boston,Yes,19,10
A32037,Washington St at Egremont Rd,42.3428683507,-71.1412784086,Boston,Yes,15,8
C32084,Washington St at Fuller St,42.2819862773,-71.0714792462,Boston,Yes,15,7
K32011,Washington St at Griggs Rd,42.338334237199994,-71.1305093022,Brookline,Yes,15,7
C32005,Washington St at Lenox St,42.3350989929,-71.0790377855,Boston,Yes,15,9
B32026,Washington St at Melnea Cass Blvd,42.332817,-71.081198,Boston,Yes,19,9
S32021,Washington St at Myrtle St,42.3817067592,-71.0837718659,Somerville,Yes,15,7
C32067,Washington St at Peters Park,42.3430329113,-71.0668873044,Boston,Yes,19,10
C32006,Washington St at Rutland St,42.3385146018,-71.0740408301,Boston,Yes,23,8
C32038,Washington St at Talbot Ave,42.290333000000004,-71.07180600000001,Boston,Yes,17,10
C32083,Washington St at Walsh Playground,42.277194696399995,-71.0695561395,Boston,Yes,19,10
D32002,Washington St at Waltham St,42.3415747187,-71.06890439989999,Boston,Yes,15,5
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.3515860012,-71.0456925631,Boston,Yes,15,5
B32021,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.337586011,-71.0962709785,Boston,Yes,14,8
D32022,West End Park,42.3659078845,-71.0644666851,Boston,Yes,35,22
A32043,Western Ave at Richardson St,42.3617874107,-71.1439311133,Boston,Yes,19,10
B32059,Whittier St Health Center,42.332862884899995,-71.0921886192,Boston,Yes,19,8
D32040,Williams St at Washington St,42.306539,-71.107669,Boston,Yes,19,10
S32005,Wilson Square,42.3856757875,-71.114121363,Somerville,Yes,15,9
