Number,Name,Latitude,Longitude,District,Public,Docks,Bikes
C32009,Dorchester Ave at Gillette Park,42.34404051,-71.0573762655,Boston,Yes,15,5
C32066,Dorchester Ave at King St,42.2917562163,-71.0625918024,Boston,Yes,15,10
B32017,Dudley Square - Bolling Building,42.3298429935,-71.0838657246,Boston,Yes,18,10
C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Boston,Yes,15,7
C32018,E Cottage St at Columbia Rd,42.320561,-71.06198,Boston,Yes,19,9
A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.03943100000001,Boston,Yes,16,7
S32017,East Somerville Library (Broadway and Illinois),42.3876281075,-71.0831871629,Somerville,Yes,15,9
S32038,Edgerly Education Center,42.3871746335,-71.0871438853,Somerville,Yes,15,7
A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Boston,Yes,19,12
M32034,EF - North Point Park,42.369885,-71.06995699999999,Cambridge,Yes,23,11
E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.09863399999999,Boston,Yes,15,8
S32039,Elm St at White St,42.3895243631,-71.1169414036,Somerville,Yes,19,11
V32005,Encore,42.3932926323,-71.072447598,Everett,Yes,15,8
V32003,Everett Square (Broadway at Chelsea St),42.4072594517,-71.0554638133,Everett,Yes,14,7
A32000,Fan Pier,42.3533905071,-71.0445713997,Boston,Yes,15,9
A32038,Faneuil St at Arlington St,42.352766205500004,-71.15988485529999,Boston,Yes,15,8
C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Boston,Yes,23,13
V32007,Ferry St at Pleasantview Ave,42.4125045078,-71.0584222527,Everett,Yes,15,5
C32041,Fields Corner T Stop,42.2996667,-71.0605833,Boston,Yes,15,6
E32010,Forest Hills,42.300923,-71.114249,Boston,Yes,40,21
S32015,Foss Park,42.3910843815,-71.0903942585,Somerville,Yes,15,6
C32037,Four Corners - 157 Washington St,42.304127927399996,-71.0792952776,Boston,Yes,11,6
C32027,Franklin Park - Seaver St at Humbolt Ave,42.309796,-71.092225,Boston,Yes,15,9
C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Boston,Yes,14,7
M32051,Fresh Pond Reservation,42.3826782752,-71.1434789514,Cambridge,Yes,17,6
C32040,Gallivan Blvd at Adams St,42.2829756784,-71.054666983,Boston,Yes,15,7
C32090,Geiger Gibson Community Health Center,42.3188646822,-71.0453679786,Boston,Yes,19,8
V32006,Glendale Square (Ferry St at Broadway),42.4142729429,-71.0447965566,Everett,Yes,15,7
A32034,Glendon St at Condor St,42.3824037767,-71.0302430391,Boston,Yes,19,7
B32032,Government Center - Cambridge St at Court St,42.359802516,-71.0596078263,Boston,Yes,23,12
E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Boston,Yes,23,10
B32028,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Boston,Yes,15,12
S32019,Grove St at Community Path,42.3963868095,-71.1201130601,Somerville,Yes,15,9
V32012,Hale Park,42.4149626488,-71.0527930101,Everett,Yes,11,5
D32043,Harrison Ave at Bennet St,42.3494260989,-71.0620995984,Boston,Yes,19,9
C32057,Harrison Ave at Mullins Way,42.3452156212,-71.06384031489999,Boston,Yes,19,10
D32035,Harvard Ave at Brainerd Rd,42.349530168899996,-71.1302277074,Boston,Yes,15,4
M32016,Harvard Kennedy School at Bennett St / Eliot St,42.372216802800004,-71.1218807101,Cambridge,Yes,23,14
M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Cambridge,Yes,19,12
M32017,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,Cambridge,Yes,15,10
M32018,Harvard Square at Mass Ave/ Dunster,42.373267999999996,-71.118579,Cambridge,Yes,19,9
M32055,Harvard St at Greene-Rose Heritage Park,42.3659943287,-71.0952222161,Cambridge,Yes,19,12
M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945000000004,-71.116865,Cambridge,Yes,17,8
M32021,Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025,Cambridge,Yes,15,7
